as_of,market,barrio,bedroom_bucket,furnished_mode,price_band,band_lo_usd,band_hi_usd,n_active,arrivals_30d,left_market_30d,fast_exits_30d,median_days_listed_km,exited_median_days,n_events
2026-08-20,buenos-aires,Almirante Brown,3,n,0,,,1,2,26,0,22.00,35.00,60
2026-08-20,buenos-aires,Almirante Brown,3,u,0,,,16,26,25,6,27.00,27.00,54
2026-08-20,buenos-aires,Almirante Brown,4,a,0,,,6,11,30,3,28.00,35.00,51
2026-08-20,buenos-aires,Almirante Brown,4,n,0,,,1,3,17,2,29.00,45.00,27
2026-08-20,buenos-aires,Almirante Brown,4,u,0,,,5,8,12,1,29.00,28.50,22
2026-08-20,buenos-aires,Avellaneda,-1,a,0,,,418,674,1702,123,27.00,30.00,3574
2026-08-20,buenos-aires,Avellaneda,0,a,0,,,65,115,532,33,22.00,22.00,916
2026-08-20,buenos-aires,Avellaneda,0,a,1,,294.12,16,27,119,9,23.00,27.00,231
2026-08-20,buenos-aires,Avellaneda,0,a,2,294.12,370.37,25,39,84,6,23.00,28.00,210
2026-08-20,buenos-aires,Avellaneda,0,a,3,370.37,918.03,23,45,133,15,22.00,23.00,227
2026-08-20,buenos-aires,Avellaneda,0,a,4,918.03,,1,4,185,3,22.00,22.00,234
2026-08-20,buenos-aires,Avellaneda,0,f,0,,,1,4,18,2,22.00,40.50,46
2026-08-20,buenos-aires,Avellaneda,0,n,0,,,6,12,226,7,21.00,27.00,449
2026-08-20,buenos-aires,Avellaneda,0,n,1,,279.72,0,1,47,1,23.00,35.00,112
2026-08-20,buenos-aires,Avellaneda,0,n,2,279.72,333.34,0,1,53,1,26.00,32.00,109
2026-08-20,buenos-aires,Avellaneda,0,n,3,333.34,462.92,6,9,40,5,22.00,30.00,112
2026-08-20,buenos-aires,Avellaneda,0,n,4,462.92,,0,1,85,0,21.00,21.00,114
2026-08-20,buenos-aires,Avellaneda,0,u,0,,,58,99,288,24,22.00,22.00,421
2026-08-20,buenos-aires,Avellaneda,0,u,1,,314.75,21,32,62,8,22.00,22.00,103
2026-08-20,buenos-aires,Avellaneda,0,u,2,314.75,426.23,30,51,45,8,25.00,22.00,93
2026-08-20,buenos-aires,Avellaneda,0,u,3,426.23,1830.07,6,14,83,7,23.00,22.00,105
2026-08-20,buenos-aires,Avellaneda,0,u,4,1830.07,,1,2,88,1,22.00,22.00,108
2026-08-20,buenos-aires,Avellaneda,1,a,0,,,173,283,625,49,29.00,34.00,1429
2026-08-20,buenos-aires,Avellaneda,1,a,1,,331.03,27,51,187,15,29.00,34.00,361
2026-08-20,buenos-aires,Avellaneda,1,a,2,331.03,393.44,32,52,156,11,28.00,34.00,356
2026-08-20,buenos-aires,Avellaneda,1,a,3,393.44,469.06,60,90,135,13,28.00,31.00,355
2026-08-20,buenos-aires,Avellaneda,1,a,4,469.06,,53,86,142,10,29.00,34.50,349
2026-08-20,buenos-aires,Avellaneda,1,f,0,,,6,7,13,2,22.00,58.00,85
2026-08-20,buenos-aires,Avellaneda,1,f,1,,373.77,1,1,3,0,24.00,102.00,21
2026-08-20,buenos-aires,Avellaneda,1,f,2,373.77,453.68,2,1,2,0,24.00,59.50,21
2026-08-20,buenos-aires,Avellaneda,1,f,3,453.68,516.34,0,2,4,2,18.00,28.00,22
2026-08-20,buenos-aires,Avellaneda,1,f,4,516.34,,3,3,4,0,34.00,57.00,21
2026-08-20,buenos-aires,Avellaneda,1,n,0,,,20,33,467,14,28.00,34.00,988
2026-08-20,buenos-aires,Avellaneda,1,n,1,,326.80,4,8,144,3,29.00,34.50,268
2026-08-20,buenos-aires,Avellaneda,1,n,2,326.80,384.62,5,8,91,3,29.00,36.00,228
2026-08-20,buenos-aires,Avellaneda,1,n,3,384.62,457.52,6,8,119,4,27.00,32.00,243
2026-08-20,buenos-aires,Avellaneda,1,n,4,457.52,,5,9,113,4,29.00,35.00,249
2026-08-20,buenos-aires,Avellaneda,1,u,0,,,147,243,145,33,29.00,29.00,356
2026-08-20,buenos-aires,Avellaneda,1,u,1,,352.56,28,52,47,15,29.00,29.00,92
2026-08-20,buenos-aires,Avellaneda,1,u,2,352.56,422.08,39,63,32,7,29.00,29.00,88
2026-08-20,buenos-aires,Avellaneda,1,u,3,422.08,490.20,40,64,33,7,29.00,29.00,86
2026-08-20,buenos-aires,Avellaneda,1,u,4,490.20,,39,60,28,4,37.00,33.00,82
2026-08-20,buenos-aires,Avellaneda,2,a,0,,,140,219,447,37,28.00,34.00,1020
2026-08-20,buenos-aires,Avellaneda,2,a,1,,448.72,26,40,114,11,27.00,30.50,263
2026-08-20,buenos-aires,Avellaneda,2,a,2,448.72,509.80,31,46,122,9,28.00,36.00,270
2026-08-20,buenos-aires,Avellaneda,2,a,3,509.80,591.51,40,57,95,5,28.00,30.00,236
2026-08-20,buenos-aires,Avellaneda,2,a,4,591.51,,42,74,112,12,28.00,35.00,245
2026-08-20,buenos-aires,Avellaneda,2,f,0,,,6,10,6,2,20.00,43.50,52
2026-08-20,buenos-aires,Avellaneda,2,n,0,,,19,22,320,5,27.00,36.00,689
2026-08-20,buenos-aires,Avellaneda,2,n,1,,433.57,2,5,80,3,27.00,36.00,173
2026-08-20,buenos-aires,Avellaneda,2,n,2,433.57,496.73,4,4,82,0,28.00,36.00,175
2026-08-20,buenos-aires,Avellaneda,2,n,3,496.73,582.46,7,6,67,0,27.00,34.00,164
2026-08-20,buenos-aires,Avellaneda,2,n,4,582.46,,5,6,91,2,27.00,36.00,175
2026-08-20,buenos-aires,Avellaneda,2,u,0,,,115,187,121,30,29.00,28.00,279
2026-08-20,buenos-aires,Avellaneda,2,u,1,,457.52,28,42,32,8,27.00,26.50,74
2026-08-20,buenos-aires,Avellaneda,2,u,2,457.52,519.61,24,41,27,10,29.00,29.00,70
2026-08-20,buenos-aires,Avellaneda,2,u,3,519.61,614.89,34,50,28,5,28.00,28.50,67
2026-08-20,buenos-aires,Avellaneda,2,u,4,614.89,,29,53,30,7,29.00,28.50,64
2026-08-20,buenos-aires,Avellaneda,3,a,0,,,33,46,83,3,30.00,39.00,179
2026-08-20,buenos-aires,Avellaneda,3,a,1,,520.83,9,9,23,0,29.00,42.00,48
2026-08-20,buenos-aires,Avellaneda,3,a,2,520.83,620.69,5,8,15,1,27.00,36.00,44
2026-08-20,buenos-aires,Avellaneda,3,a,3,620.69,849.67,10,16,17,2,28.00,37.00,46
2026-08-20,buenos-aires,Avellaneda,3,a,4,849.67,,9,13,28,0,36.00,37.50,41
2026-08-20,buenos-aires,Avellaneda,3,n,0,,,3,3,59,1,30.00,39.00,103
2026-08-20,buenos-aires,Avellaneda,3,n,1,,517.80,0,0,18,0,35.00,47.50,26
2026-08-20,buenos-aires,Avellaneda,3,n,2,517.80,594.06,1,1,11,0,24.00,36.00,25
2026-08-20,buenos-aires,Avellaneda,3,n,3,594.06,732.88,1,1,7,1,25.00,36.00,24
2026-08-20,buenos-aires,Avellaneda,3,n,4,732.88,,1,1,23,0,33.00,36.00,28
2026-08-20,buenos-aires,Avellaneda,3,u,0,,,30,43,21,2,39.00,43.00,67
2026-08-20,buenos-aires,Avellaneda,3,u,1,,550.16,11,12,7,1,35.00,35.00,22
2026-08-20,buenos-aires,Avellaneda,4,a,0,,,7,11,15,1,29.00,29.00,30
2026-08-20,buenos-aires,Balvanera,-1,a,0,,,1920,2037,1664,774,22.00,15.00,6213
2026-08-20,buenos-aires,Balvanera,0,a,0,,,776,776,586,260,23.00,15.00,2308
2026-08-20,buenos-aires,Balvanera,0,a,1,,370.41,162,204,174,81,21.00,15.00,566
2026-08-20,buenos-aires,Balvanera,0,a,2,370.41,448.72,178,208,168,70,22.00,21.00,579
2026-08-20,buenos-aires,Balvanera,0,a,3,448.72,538.46,192,190,121,56,22.00,13.00,562
2026-08-20,buenos-aires,Balvanera,0,a,4,538.46,,193,167,123,53,25.00,15.00,544
2026-08-20,buenos-aires,Balvanera,0,f,0,,,290,266,192,91,23.00,14.00,862
2026-08-20,buenos-aires,Balvanera,0,f,1,,430.46,52,71,61,30,21.00,17.00,205
2026-08-20,buenos-aires,Balvanera,0,f,2,430.46,507.05,62,77,51,29,21.00,6.00,215
2026-08-20,buenos-aires,Balvanera,0,f,3,507.05,600.00,63,57,43,16,21.00,16.00,213
2026-08-20,buenos-aires,Balvanera,0,f,4,600.00,,72,61,37,16,29.00,12.00,186
2026-08-20,buenos-aires,Balvanera,0,n,0,,,348,403,299,132,22.00,15.00,1102
2026-08-20,buenos-aires,Balvanera,0,n,1,,340.59,73,99,87,41,22.00,15.00,272
2026-08-20,buenos-aires,Balvanera,0,n,2,340.59,398.60,85,108,81,38,21.00,15.00,279
2026-08-20,buenos-aires,Balvanera,0,n,3,398.60,480.77,93,107,70,29,21.00,15.00,279
2026-08-20,buenos-aires,Balvanera,0,n,4,480.77,,96,89,61,24,23.00,19.00,271
2026-08-20,buenos-aires,Balvanera,0,u,0,,,138,107,95,37,30.00,24.00,344
2026-08-20,buenos-aires,Balvanera,0,u,1,,382.84,32,28,28,9,30.00,30.00,85
2026-08-20,buenos-aires,Balvanera,0,u,2,382.84,448.72,27,28,31,13,24.00,20.00,85
